[2016-Sep-02 09:52:43.449266] <0>: 

 Starting up!

[2016-Sep-02 09:52:43.449646] <0>: ACQ Thread: Opening VME Card Via Optical Link, Digitizer #0
[2016-Sep-02 09:52:43.449858] <0>: ACQ Thread: Successfully Opened Digitizer #0
[2016-Sep-02 09:52:43.449962] <0>: ACQ Thread:Common Register Readback for Digitizer #0
[2016-Sep-02 09:52:43.450007] <0>: ACQ Thread:  Addr |   Read   
[2016-Sep-02 09:52:43.450038] <0>: ACQ Thread:0x8000 | 0x000c0910
[2016-Sep-02 09:52:43.450089] <0>: ACQ Thread:0x800c | 0x00000009
[2016-Sep-02 09:52:43.450120] <0>: ACQ Thread:0x8100 | 0x00000004
[2016-Sep-02 09:52:43.450148] <0>: ACQ Thread:0x810c | 0xc0000000
[2016-Sep-02 09:52:43.450177] <0>: ACQ Thread:0x8110 | 0x80000000
[2016-Sep-02 09:52:43.450205] <0>: ACQ Thread:0x811c | 0x00000000
[2016-Sep-02 09:52:43.450234] <0>: ACQ Thread:0x8120 | 0x00003fff
[2016-Sep-02 09:52:43.450262] <0>: ACQ Thread:0x8138 | 0x00000000
[2016-Sep-02 09:52:43.450290] <0>: ACQ Thread:0x8144 | 0x00000000
[2016-Sep-02 09:52:43.450318] <0>: ACQ Thread:0x816c | 0x00000000
[2016-Sep-02 09:52:43.450345] <0>: ACQ Thread:0x8170 | 0x00000000
[2016-Sep-02 09:52:43.450373] <0>: ACQ Thread:0x817c | 0x00000000
[2016-Sep-02 09:52:43.450401] <0>: ACQ Thread:0x817c | 0x00000000
[2016-Sep-02 09:52:43.450428] <0>: ACQ Thread:0x81a0 | 0x00000000
[2016-Sep-02 09:52:43.450456] <0>: ACQ Thread:0xef00 | 0x00000090
[2016-Sep-02 09:52:43.450484] <0>: ACQ Thread:0xef14 | 0x00000000
[2016-Sep-02 09:52:43.450511] <0>: ACQ Thread:0xef18 | 0x00000000
[2016-Sep-02 09:52:43.450538] <0>: ACQ Thread:0xef1c | 0x00000200
[2016-Sep-02 09:52:43.450627] <0>: ACQ Thread:Group Register Readback for Digitizer #0
[2016-Sep-02 09:52:43.450667] <0>: ACQ Thread:  Addr |   Read   
[2016-Sep-02 09:52:43.450696] <0>: ACQ Thread:0x1020 | 0x00000012
[2016-Sep-02 09:52:43.450726] <0>: ACQ Thread:0x1034 | 0x00000020
[2016-Sep-02 09:52:43.450754] <0>: ACQ Thread:0x1084 | 0x00000007
[2016-Sep-02 09:52:43.450782] <0>: ACQ Thread:0x8180 | 0x20000000
[2016-Sep-02 09:52:43.450810] <0>: ACQ Thread:0x1220 | 0x00000012
[2016-Sep-02 09:52:43.450837] <0>: ACQ Thread:0x1234 | 0x00000020
[2016-Sep-02 09:52:43.450865] <0>: ACQ Thread:0x1284 | 0x00000007
[2016-Sep-02 09:52:43.450893] <0>: ACQ Thread:0x8184 | 0x20000000
[2016-Sep-02 09:52:43.450920] <0>: ACQ Thread:0x1420 | 0x00000012
[2016-Sep-02 09:52:43.450947] <0>: ACQ Thread:0x1434 | 0x00000020
